,name,latitud,longitud,type
0,Zoe,40.43266862415363,-3.6790343902183134,clubs
1,StreetXO,40.427687702735966,-3.687255526702393,clubs
2,Liberty Supper Club,40.43269642133162,-3.6788608707829167,clubs
3,Goya Social Club,40.42535549166526,-3.6828728781362106,clubs
4,El Callejón de Serrano,40.432936108683165,-3.6870776239124776,clubs
5,Le Boutique,40.429424432987275,-3.68754524137197,clubs
6,Green,40.43306702377597,-3.6878619254410467,clubs
7,Amazónico,40.42383753262332,-3.6850245572738443,clubs
8,Fortuny Palace,40.434483727754156,-3.689900764206596,clubs
9,Velazquez Gin Club,40.42815508333346,-3.6836574622698506,clubs
10,Fulanita de Tal,40.424668512406484,-3.6964409288360884,clubs
11,Space Monkey,40.42563696811733,-3.696139442795283,clubs
12,La Casa del Abuelo,40.425073774581925,-3.6811788403181214,clubs
13,A Japanese Kirikata,40.421448376229414,-3.6789918831772366,clubs
14,Gunilla Club,40.422652665279784,-3.6913254838516742,clubs
15,Discoteca Almontes Sala Rociera,40.43279897,-3.67872521,clubs
16,Volta Café,40.42541105713295,-3.695266976803426,clubs
17,Graf,40.43753721061033,-3.6811010827646666,clubs
18,Alegoría,40.422569057622155,-3.6899302552237048,clubs
19,Hard Rock Cafe Madrid,40.426430437500976,-3.6895652644921406,clubs
20,Mamá No Lo Sabe,40.436823110324404,-3.6806552694202743,clubs
21,Personal By Marta Rosado,40.4315744,-3.6854659,clubs
22,Miocio Madrid,40.4321568,-3.6731311999999434,clubs
23,The Office,40.43727133287345,-3.6829281348659197,clubs
24,Le Margon Club,40.42385829060472,-3.6784846315872057,clubs
25,Parche,40.427171,-3.672154,clubs
26,Gossip,40.434047,-3.684515,clubs
27,The Shaker,40.42908,-3.673566,clubs
28,El Doblón,40.432691987064985,-3.678731084080883,clubs
29,Ego Club,40.423728712577436,-3.6850976943969727,clubs
