,city,state_code,latitud,longitud
0,West Hollywood,CA,34.090368,-118.393064
1,San Francisco,CA,37.7768052,-122.4169244
2,San Francisco,CA,37.789634,-122.404052
3,San Diego,CA,33.022176,-117.081406
4,New York City,NY,40.757929,-73.985506
5,New York,NY,40.7464969,-74.0094471
6,London,,53.344104,-6.267494
7,San Francisco,CA,37.778613,-122.395289
8,Pasadena,CA,34.1494713,-118.1327468
13,Culver City,CA,34.017606,-118.487267
14,,,37.09024,-95.712891
15,San Francisco,CA,37.788482,-122.409173
16,Austin,TX,30.268735,-97.745209
17,San Francisco,CA,37.78976,-122.402524
18,Los Angeles,CA,34.051409,-118.254558
19,Ramat Gan,,31.046051,34.851612
20,New York,NY,40.726155,-73.995625
21,San Francisco,CA,37.392936,-122.07948
24,NYC,NY,40.801358,-74.3372
25,Fremont,CA,37.465645,-121.932202
26,San Francisco,CA,37.762541,-122.397224
27,,CA,37.269175,-119.306607
28,Seattle,WA,47.620716,-122.347533
29,SCHUYLER LAKE,NY,37.488336,-122.217964
30,Burlingame,CA,37.559287,-122.302262
31,Encino,CA,37.269175,-119.306607
32,San Francisco,CA,37.780716,-122.393913
33,Vancouver,,49.263588,-123.138565
34,46395 Bocholt,,51.808933,6.553452
35,San Mateo,CA,37.421621,-122.137444
36,San Francisco,CA,37.7870842,-122.4038047
39,Helsinki,,60.16377,24.93105
40,Santa Clara,CA,37.380101,-121.940749
41,Seattle,WA,47.599925,-122.334264
43,Los Angeles,CA,34.052187,-118.243425
44,Amsterdam,,52.3745228,4.8948623
45,Amsterdam,,52.375595,4.908556
46,Southampton,,50.9444598,-1.3610845
47,San Francisco,CA,37.775196,-122.419204
48,Sunnyvale,CA,37.36965,-122.02421
49,Santa Monica,CA,34.0126379,-118.495155
50,San Francisco,CA,37.758113,-122.414689
51,Fairfax,VA,37.09024,-95.712891
52,Mill Valley,CA,37.90077,-122.511687
53,Mountain View,CA,37.391502,-122.073463
54,Paris,,48.856667,2.350987
55,Paris,,48.866323,2.381514
56,San Francisco,CA,37.779507,-122.39071
57,Berkeley,CA,37.870744,-122.269259
58,Palo Alto,CA,37.437328,-122.159928
59,Boston,MA,42.350571,-71.076869
60,San Francisco,CA,37.775196,-122.419204
61,New York,NY,40.7143528,-74.0059731
62,Tel Aviv,,32.0554,34.7595
63,Geneva,,46.20381,6.139959
64,San Francisco,CA,37.775196,-122.419204
65,Charlottesville,VA,38.030823,-78.48158
66,,CA,37.796164,-122.420903
67,San Francisco,CA,37.76785,-122.392861
68,Woodland Hills,CA,34.184598,-118.601532
69,San Francisco,CA,37.782263,-122.392142
70,San Francisco,CA,37.766909,-122.406676
71,Mill Valley,CA,37.905544,-122.547445
72,Pleasanton,CA,37.6637279,-121.8731805
73,Reston,VA,38.9590083,-77.3592746
74,London,,51.5170385,-0.1394759
75,London W11 2HX,,51.514935,-0.205349
77,Greensburg,PA,40.30305,-79.462703
78,San Mateo,CA,37.55909,-122.321836
79,San Francisco,CA,37.787092,-122.399972
81,San Francisco,CA,37.775196,-122.419204
82,San Francisco,CA,37.779392,-122.417928
83,Phoenix,AZ,33.429864,-111.944967
84,Sunnyvale,CA,37.386376,-121.991471
85,Sunnyvale,CA,37.384651,-121.992132
86,Seattle,WA,47.620716,-122.347533
87,Columbus,OH,39.967704,-83.005038
88,,CA,37.269175,-119.306607
89,New York,NY,40.736416,-73.993302
96,Boulder,CO,40.010492,-105.276843
97,Columbia,MD,39.205649,-76.77514
98,New York,MD,40.753631,-73.995487
99,Cambridge,MD,42.359146,-71.056604
103,Nacka Strand,,59.3167843,18.1582777
105,Sunnyvale,CA,37.368594,-122.034021
106,Mountain View,CA,37.400465,-122.073003
107,Sao Paulo,,-23.558584,-46.679287
108,Capelle a/d IJssel,,51.9122575,4.5464658
110,Mountain View,CA,37.386665,-122.084171
111,Tel Aviv,,32.0554,34.7595
112,Los Angeles,CA,34.052187,-118.243425
113,New York,NY,40.797364,-73.97785
114,,,37.09024,-95.712891
115,Boulder,CO,40.010492,-105.276843
116,Boulder,CO,40.010492,-105.276843
117,San Diego,CA,32.877656,-117.210595
118,Bowling Green,,37.018244,-86.463026
119,San Francisco,CA,40.270666,-74.761403
120,,,31.046051,34.851612
122,,,37.09024,-95.712891
123,,,31.046051,34.851612
124,San francisco,CA,38.0729365,-122.1879633
125,Arlington,VA,38.892371,-77.081732
127,,,17.08881,-96.76492
128,San Francisco,CA,37.7909427,-122.4084994
130,,,37.09024,-95.712891
131,Vancouver,,49.263588,-123.138565
132,San Francisco,CA,37.779507,-122.39071
140,San Francisco,CA,37.795555,-122.400729
141,San Francisco,CA,37.7911148,-122.3954751
143,San Francisco,CA,37.786942,-122.401245
144,San Francisco,CA,37.781557,-122.407959
145,San Mateo,CA,37.5646055,-122.3229235
146,Boulder,CO,40.010492,-105.276843
147,Boulder,CO,40.0186731,-105.2762236
148,Palo Alto,CA,40.010492,-105.276843
149,Burlingame,CA,39.762314,-104.982256
150,Palo Alto,CA,37.437328,-122.159928
151,Pittsburgh,PA,40.445009,-79.948563
152,Boston,MA,42.35892,-71.05781
153,New York,NY,40.751816,-73.971655
157,Stockholm,,59.3369746,18.0580765
161,"Mississauga, Ontario",,43.6587599,-79.5983626
164,San Francisco,CA,37.789488,-122.397593
165,Atherton,CA,37.450128,-122.205016
166,Santa Monica,CA,34.018275,-118.495025
167,Cambridge,MA,42.372912,-71.118999
168,San Francisco,CA,37.09024,-95.712891
169,Belmont,CA,37.524422,-122.265869
170,Santa Monica,CA,34.017373,-118.453218
171,Fort Lauderdale,FL,26.207024,-80.157296
172,Emeryville,CA,37.836957,-122.286493
173,London,,51.5108803,-0.1418973
174,Cambridge,MA,42.358822,-71.104329
175,Bellevue,WA,47.597965,-122.151158
176,Saint Louis,MO,38.618874,-90.216499
177,Fort Mill,SC,35.22806,-80.856178
178,Providence,RI,41.841713,-71.399771
179,Bangalore,,12.971606,77.594376
180,Stockholm,,59.3339908,18.0571198
181,Waltham,MA,42.3729,-71.248472
182,,,37.09024,-95.712891
184,London,,51.5192042,-0.1626103
185,Palo Alto,CA,37.433414,-122.128772
186,San Francisco,CA,37.775196,-122.419204
187,Seattle,WA,47.5999337,-122.3276962
188,Austin,TX,30.386601,-97.753739
189,Toronto,,43.799511,-79.348037
191,New York,NY,40.723384,-74.001704
193,Mountain View,CA,37.386665,-122.084171
197,New York,NY,40.643438,-73.886452
198,Sassenage,,45.206889,5.659066
199,San Francisco,CA,37.781265,-122.393229
201,New York,NY,40.74406,-74.004592
203,Rancho Cucamonga,CA,34.099253,-117.572967
204,Los Angeles,CA,34.031276,-118.456806
205,Mountain View,CA,37.563585,-122.324621
206,London,,51.5195795,-0.1065551
208,New York,NY,40.775537,-73.981709
209,New York,NY,40.753202,-73.986771
210,Seattle,WA,47.611012,-122.333523
212,San Francisco,CA,37.7749295,-122.4194155
213,New York,NY,40.757929,-73.985506
214,Austin,TX,30.34497,-97.770174
217,McLean,VA,38.003376,-79.420926
218,San Francisco,CA,37.764169,-122.402021
219,Redwood City,CA,37.446668,-122.156579
223,Los Altos,CA,33.8171,-111.9035
224,Boulder,CO,40.048078,-105.38018
225,New London,CT,41.345754,-72.105722
226,La Jolla,CA,32.847521,-117.274609
228,San Francisco,CA,37.793742,-122.421341
229,Portland,OR,45.5241278,-122.675448
230,Palo Alto,CA,37.445714,-122.161247
231,Seattle,WA,47.6015315,-122.335943
233,,,56.130366,-106.346771
234,Berlin,,52.5013449,13.4109071
236,The Woodlands,TX,30.182107,-95.536
237,Sammamish,WA,47.585114,-122.084356
238,Paris,,48.8558532,2.3365754
239,Chicago,IL,41.890376,-87.63406
240,Needham,MA,42.296111,-71.238524
241,Boulder,CO,40.010492,-105.276843
242,Boulder,CO,40.01621,-105.28131
243,Seattle,WA,47.6104101,-122.3396627
244,West Palm Beach,CA,43.67084,-83.913153
245,Cambridge,MA,42.375392,-71.118487
246,New York,NY,40.7413559,-73.9912208
248,London,,51.519819,-0.136174
250,New York,NY,40.72948,-74.000195
252,Cambridge,MA,42.375392,-71.118487
253,,,36.076705,-115.089514
254,San Mateo,CA,37.557637,-122.285714
255,San Francisco,CA,37.799549,-122.306571
256,Los Gatos,CA,37.222604,-121.983814
257,,CA,33.945553,-118.441219
258,Berkeley,CA,37.887864,-122.26999
259,Solana Beach,CA,33.020832,-117.077311
260,San Francisco,CA,37.789634,-122.404052
261,Livermore,CA,37.661237,-121.803572
262,San Mateo,CA,37.566879,-122.323895
263,Sunnyvale,CA,37.384239,-122.012475
264,Irving,TX,32.860831,-96.9403
