,city,latitud,longitud,type
300,Madrid,40.530724,-3.632687,company
1008,Madrid,40.497716,-3.647842,company
1055,Madrid,40.43094,-3.6952896,company
1342,Madrid,40.416741,-3.70325,company
1918,Madrid,40.5288449,-3.6429907,company
1956,Madrid,40.382338,-3.773844,company
2083,Madrid,40.4596242,-3.6923285,company
2116,Madrid,40.416741,-3.70325,company
2380,Madrid,40.42046,-3.678121,company
2637,Madrid,40.412323,-3.703248,company
2978,Madrid,40.412323,-3.703248,company
3793,Madrid,40.4367771,-3.6685036,company
4124,Madrid,40.4225487,-3.6830316,company
4144,Madrid,40.4304536,-3.7105118,company
4436,Madrid,40.4380872,-3.6760635,company
4631,Madrid,40.6070897,-3.6912754,company
4716,Madrid,40.4328978,-3.6496952,company
4785,Madrid,40.4905109,-3.7033403,company
5363,Madrid,40.4158236,-3.696277,company
5387,Madrid,40.4346935,-3.6782829,company
5618,Madrid,40.4165967,-3.6992667,company
5813,Madrid,40.6367104,-3.9980485,company
6137,Madrid,40.4226918,-3.6883074,company
6138,Madrid,40.4244585,-3.6990948,company
6154,Madrid,40.4455155,-3.7061764,company
6313,Madrid,40.4167413,-3.7032498,company
